Date,SP500,cpi
2015-04-13,-1241.5343598842696,-1.6110114113507734
2015-04-14,-1241.2244357684708,-1.6181482723563931
2015-04-15,-1237.9695962117958,-1.6930999664241426
2015-04-16,-1234.4819430958942,-1.7734128373985243
2015-04-17,-1233.0423310206247,-1.8065638919937044
2015-04-20,-1232.0311767880662,-1.8298485182784816
2015-04-21,-1229.9317228983882,-1.8781942578790165
2015-04-22,-1226.4847781590624,-1.9575697057534285
2015-04-23,-1223.2020790795746,-2.0331629424823348
2015-04-24,-1220.5549362605043,-2.0941207363378567
2015-04-27,-1218.2277072359375,-2.147711629172278
2015-04-28,-1215.8811787797358,-2.201746944863885
2015-04-29,-1214.7621778587404,-2.2275150397981065
2015-04-30,-1215.9440108950157,-2.2003000614153905
2015-05-01,-1214.7935124486344,-1.447586958127431
2015-05-04,-1213.4617296278075,-1.4782549455391631
2015-05-05,-1214.6878275754857,-1.4500206449933728
2015-05-06,-1216.461649320545,-1.4091734872605741
2015-05-07,-1215.9746306911456,-1.4203884398505409
2015-05-08,-1214.8534853888577,-1.4462059151022117
2015-05-11,-1214.2793490901868,-1.4594269932727002
2015-05-12,-1214.9105991540237,-1.4448907125002677
2015-05-13,-1215.942464971753,-1.4211291446125927
2015-05-14,-1215.698946940056,-1.4267368216405885
2015-05-15,-1214.7127756212585,-1.449446147153509
2015-05-18,-1213.681624597294,-1.473191254935358
2015-05-19,-1212.183451735336,-1.507690833810102
2015-05-20,-1209.3027805632742,-1.574026264678082
2015-05-21,-1207.6939192718169,-1.6110747511595491
2015-05-22,-1206.8677048502718,-1.6301006261618909
2015-05-26,-1205.815127447373,-1.6543391356524637
2015-05-27,-1202.72094214772,-1.7255913205698334
2015-05-28,-1200.3794172478679,-1.7795114155206875
2015-05-29,-1201.001409860758,-1.7651883131919988
2015-06-01,-1200.529292922531,-1.119886204894442
2015-06-02,-1199.7809212853158,-1.1371195342260023
2015-06-03,-1198.6676387144357,-1.1627559483135883
2015-06-04,-1200.4714469296064,-1.1212182690682084
2015-06-05,-1202.606588205516,-1.0720507285744532
2015-06-08,-1206.1713518779893,-0.989962173501084
2015-06-09,-1209.5761760872047,-0.911556667472297
2015-06-10,-1211.0507956229303,-0.877599469157758
2015-06-11,-1212.6189485378113,-0.8414884057762606
2015-06-12,-1214.9004830634462,-0.7889497553165938
2015-06-15,-1216.3122530498972,-0.7564398419165741
2015-06-16,-1218.2538769896219,-0.7117285739751367
